40,7,2015,4
27,7,2015,7
39,2,2015,4
34,5,2015,5
23,0,2016,3
26,0,2017,8
32,9,2016,5
19,14,2015,9
3,11,2015,8
12,14,2017,5
8,8,2015,7
29,4,2016,9
15,12,2015,9
0,11,2016,10
7,12,2016,6
10,3,2017,5
23,2,2016,4
8,1,2015,6
41,13,2017,5
16,7,2015,7
41,13,2015,8
4,1,2017,3
42,10,2016,4
11,2,2015,6
17,1,2015,4
14,3,2015,6
41,6,2016,6
42,11,2017,3
1,12,2015,6
42,6,2015,8
20,0,2017,3
0,2,2016,5
12,5,2015,9
6,11,2017,10
12,11,2016,5
25,2,2015,6
0,2,2015,3
44,5,2016,10
27,4,2015,6
34,1,2016,3
39,1,2016,3
43,9,2017,3
28,14,2015,10
9,3,2017,9
27,3,2015,8
12,13,2015,8
42,2,2015,6
19,10,2015,4
21,6,2015,3
18,3,2016,5
25,4,2016,10
35,3,2017,8
3,7,2017,7
6,11,2017,6
17,3,2017,6
39,1,2015,3
8,4,2015,9
38,7,2016,9
20,5,2016,9
24,2,2015,7
7,1,2015,3
17,14,2017,4
17,3,2016,4
17,4,2016,6
46,9,2017,5
22,11,2016,3
24,1,2015,4
29,14,2015,9
38,3,2015,7
40,13,2017,8
18,4,2017,6
18,6,2017,7
22,13,2015,6
23,0,2015,9
20,14,2016,8
31,3,2016,9
45,3,2015,7
29,4,2017,3
1,10,2015,7
10,0,2016,7
14,1,2017,7
15,8,2016,7
35,9,2016,6
34,5,2016,3
2,5,2016,6
7,13,2015,4
2,5,2015,6
27,1,2017,7
15,0,2017,5
28,8,2015,4
17,6,2016,10
23,0,2017,4
7,10,2016,6
37,4,2016,4
19,8,2017,10
19,8,2016,9
30,0,2015,4
8,3,2016,7
26,7,2016,4
29,6,2016,5
26,7,2015,4
33,14,2016,9
11,2,2015,7
20,13,2017,10
20,1,2016,9
0,14,2017,10
11,5,2015,6
38,3,2015,4
17,7,2017,7
43,4,2015,5
13,14,2016,10
17,4,2015,6
10,7,2016,10
15,10,2017,10
12,4,2015,7
2,10,2017,7
1,10,2016,10
13,14,2016,6
22,5,2016,10
26,6,2015,4
0,4,2016,9
42,2,2016,4
23,1,2017,8
11,10,2015,5
17,2,2016,3
24,1,2016,5
8,7,2017,7
25,7,2015,4
32,3,2017,9
25,7,2015,5
36,2,2017,7
21,7,2017,6
45,7,2016,5
22,13,2016,10
10,10,2016,6
39,1,2016,7
27,8,2017,6
16,1,2016,10
33,5,2015,9
17,6,2016,5
24,4,2017,4
18,5,2017,7
1,9,2015,4
41,3,2016,9
19,4,2015,7
29,12,2015,10
20,2,2015,9
26,10,2015,3
38,14,2016,5
21,3,2017,7
33,8,2016,5
20,12,2015,4
38,10,2016,8
45,12,2016,9
34,2,2015,3
24,2,2016,9
46,14,2017,3
32,12,2015,7
4,2,2017,3
13,3,2016,3
39,3,2017,4
30,7,2016,6
25,11,2015,7
46,6,2015,5
34,1,2015,10
30,5,2015,9
4,8,2016,10
29,10,2015,5
1,13,2015,4
17,9,2016,6
8,9,2015,5
34,3,2017,8
39,14,2015,10
37,0,2017,7
9,6,2016,6
20,10,2017,9
44,6,2017,7
28,10,2017,9
21,8,2017,6
18,7,2016,4
37,6,2016,9
2,2,2017,6
45,2,2017,6
32,10,2017,5
2,13,2017,5
19,6,2015,6
18,0,2016,4
11,8,2015,3
15,11,2015,9
12,7,2016,8
6,2,2015,8
42,3,2017,8
6,4,2015,3
6,7,2015,3
29,12,2017,7
3,9,2016,8
1,6,2017,4
28,2,2016,3
26,9,2016,3
32,4,2016,4
28,0,2017,10
15,5,2015,6
21,14,2016,5
2,7,2016,5
7,11,2016,6
34,5,2015,5
33,9,2016,7
38,9,2015,8
45,8,2015,6
6,14,2017,6
28,8,2017,10
21,12,2017,9
10,1,2017,7
29,13,2016,9
45,5,2015,4
31,11,2016,7
27,9,2017,3
42,0,2016,8
7,10,2016,9
13,13,2015,3
18,3,2016,9
43,9,2017,10
38,13,2017,8
46,8,2017,8
41,2,2017,8
28,6,2016,5
12,10,2015,3
42,1,2016,10
3,5,2017,6
33,9,2015,4
31,1,2017,9
33,3,2016,9
9,7,2016,10
27,8,2015,3
5,8,2015,5
20,4,2017,10
8,6,2016,7
28,14,2016,4
17,11,2017,8
41,8,2017,8
46,6,2015,5
8,2,2015,4
16,9,2016,4
45,7,2016,7
3,8,2017,9
26,12,2016,10
40,11,2017,10
7,3,2017,3
41,9,2017,9
9,13,2017,9
